cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,cluster_size,member_queries,member_expected_answers,member_notes,threshold_used,masking_profile,block_key
11,FMSA,Chiller,Knowledge Query,retrospective,What are the failure modes of Chiller 6 that can be identified by analyzing the data from the available sensors?,what are the failure modes of chiller 6 that can be identified by analyzing the data from the available sensors?,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['What are the failure modes of Chiller 6 that can be identified by analyzing the data from the available sensors?'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
12,FMSA,Chiller,Knowledge Query,retrospective,"Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?","purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?",the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?']",['the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
13,FMSA,Chiller,Knowledge Query,prescriptive,Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.,generate a machine learning recipe for detecting overheating failure for chiller 6. result should include feature sensors and target sensor.,the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.'],['the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
14,FMSA,Chiller,Knowledge Query,retrospective,"When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?","when compressor motor of chiller 6 fails, what is the temporal behavior of the power input?",the answer should describe the temporal behavior of the power input of Chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?']",['the answer should describe the temporal behavior of the power input of Chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
15,FMSA,Chiller,Knowledge Query,retrospective,"When power input of Chiller 6 drops, what is the potential failure that causes it?","when power input of chiller 6 drops, what is the potential failure that causes it?","the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['When power input of Chiller 6 drops, what is the potential failure that causes it?']","[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
16,FMSA,Chiller,Knowledge Query,retrospective,"When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?","when the liquid refrigerant evaporator temperature of chiller 6 drops, what failure is most likely to occur?","the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?']","[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
17,FMSA,Chiller,Knowledge Query,prescriptive,"I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,","i want to build an anomaly model for identifying a chiller trip failure for pokmain chiller 6. provide me a list of sensors that i should use, along with the temporal behavior,","the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,']","['the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'Chiller', 'Knowledge Query')"
18,FMSA,WindTurbine,Knowledge Query,retrospective,List all failure modes of asset Wind Turbine.,list all failure modes of asset wind turbine.,the answer should contain a list of meaningful failure modes for asset wind turbine.,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['List all failure modes of asset Wind Turbine.'],['the answer should contain a list of meaningful failure modes for asset wind turbine.'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'WindTurbine', 'Knowledge Query')"
19,FMSA,WindTurbine,Knowledge Query,retrospective,Provide some sensors of asset Wind Turbine.,provide some sensors of asset wind turbine.,the answer should contain a list of sensor names for asset wind turbine.,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['Provide some sensors of asset Wind Turbine.'],['the answer should contain a list of sensor names for asset wind turbine.'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('FMSA', 'WindTurbine', 'Knowledge Query')"
20,IoT,AHU,Knowledge Query,retrospective,What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file,what was the latest supply humidity from cqpa ahu 1 at site main on sept 3 2015? return in a file,"The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file'],"['The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'AHU', 'Knowledge Query')"
21,IoT,AHU,Knowledge Query,retrospective,"what was the supply temperature from CQPA AHU 2B on sept 19, 2020 at quarter to midnight, at site MAIN? return in a file","what was the supply temperature from cqpa ahu 2b on sept 19, 2020 at quarter to midnight, at site main? return in a file","The expected response should be the supply temperature from asset CQPA AHU 2B at 11:45pm on September 19, 2015.  The returned value should be a reference to a file containing the value",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,"['what was the supply temperature from CQPA AHU 2B on sept 19, 2020 at quarter to midnight, at site MAIN? return in a file']","['The expected response should be the supply temperature from asset CQPA AHU 2B at 11:45pm on September 19, 2015.  The returned value should be a reference to a file containing the value']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'AHU', 'Knowledge Query')"
22,IoT,AHU,Knowledge Query,retrospective,how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?,how much power was cqpa ahu 1 (main site) using on 6/14/20?,"The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?'],"['The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'AHU', 'Knowledge Query')"
23,IoT,AHU,Knowledge Query,retrospective,Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN,can i list all the metrics monitored by cqpa ahu 2b? use site main,The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN'],['The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'AHU', 'Knowledge Query')"
24,IoT,AHU,Knowledge Query,retrospective,"What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?","what is the power consumption of cqpa ahu 1 on mar 13 '20, site main?","The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,"[""What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?""]","['The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'AHU', 'Knowledge Query')"
25,IoT,AHU,Knowledge Query,retrospective,"what was the return temperature from CQPA AHU 2B on sept 19, 2020 at 7pm, at site MAIN? return data in a file","what was the return temperature from cqpa ahu 2b on sept 19, 2020 at 7pm, at site main? return data in a file","The expected response should be the return temperature for asset CQPA AHU 2B at the MAIN site, for 7pm on September 19, 2015. The return value should reference a file that contains the return temperature.",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,"['what was the return temperature from CQPA AHU 2B on sept 19, 2020 at 7pm, at site MAIN? return data in a file']","['The expected response should be the return temperature for asset CQPA AHU 2B at the MAIN site, for 7pm on September 19, 2015. The return value should reference a file that contains the return temperature.']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'AHU', 'Knowledge Query')"
26,IoT,Chiller,Data Query,retrospective,Retrieve metadata for Chiller 6 located at the MAIN site.,retrieve metadata for chiller 6 located at the <site> site.,"The expected response should be the metadata for asset 'Chiller 6' at the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,1,['Retrieve metadata for Chiller 6 located at the MAIN site.'],"[""The expected response should be the metadata for asset 'Chiller 6' at the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata""]",['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'Chiller', 'Data Query')"
27,IoT,Chiller,Data Query,retrospective,Get the asset details for Chiller 9 at the MAIN site.,get the asset details for chiller 9 at the <site> site.,"The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details",Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,1,['Get the asset details for Chiller 9 at the MAIN site.'],"[""The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details""]",['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query'],0.82,refined_keep_numeric_mask_dates_ids,"('IoT', 'Chiller', 'Data Query')"
