meta_cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,source_refined_cluster_ids,source_refined_cluster_count,cluster_size,member_queries,member_expected_answers,member_notes,action_signature,param_sensitive,meta_key,merge_profile
11,FMSA,Chiller,Knowledge Query,retrospective,List all installed sensors of asset Chiller 6.,list all installed sensors of asset chiller 6.,"The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.",Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query,[2],1,1,['List all installed sensors of asset Chiller 6.'],"['The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.']",['Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all installed sensors of asset chiller <NUM>.')",aggressive_template_collapse_v1
12,FMSA,Chiller,Knowledge Query,retrospective,List all sensors of Chiller 6 that are potentially relevant to Compressor Overheating.,list all sensors of chiller 6 that are potentially relevant to compressor overheating.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[8],1,1,['List all sensors of Chiller 6 that are potentially relevant to Compressor Overheating.'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all sensors of chiller <NUM> that are potentially relevant to compressor overheating.')",aggressive_template_collapse_v1
13,FMSA,Chiller,Knowledge Query,retrospective,What are the failure modes of Chiller 6 that can be identified by analyzing the data from the available sensors?,what are the failure modes of chiller 6 that can be identified by analyzing the data from the available sensors?,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[11],1,1,['What are the failure modes of Chiller 6 that can be identified by analyzing the data from the available sensors?'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'what are the failure modes of chiller <NUM> that can be identified by analyzing the data from the available sensors?')",aggressive_template_collapse_v1
14,FMSA,Chiller,Knowledge Query,retrospective,"When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?","when compressor motor of chiller 6 fails, what is the temporal behavior of the power input?",the answer should describe the temporal behavior of the power input of Chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[14],1,1,"['When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?']",['the answer should describe the temporal behavior of the power input of Chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'when compressor motor of chiller <NUM> fails, what is the temporal behavior of the power input?')",aggressive_template_collapse_v1
15,FMSA,Chiller,Knowledge Query,retrospective,"When power input of Chiller 6 drops, what is the potential failure that causes it?","when power input of chiller 6 drops, what is the potential failure that causes it?","the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[15],1,1,"['When power input of Chiller 6 drops, what is the potential failure that causes it?']","[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'when power input of chiller <NUM> drops, what is the potential failure that causes it?')",aggressive_template_collapse_v1
16,FMSA,Chiller,Knowledge Query,retrospective,"When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?","when the liquid refrigerant evaporator temperature of chiller 6 drops, what failure is most likely to occur?","the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[16],1,1,"['When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?']","[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'when the liquid refrigerant evaporator temperature of chiller <NUM> drops, what failure is most likely to occur?')",aggressive_template_collapse_v1
17,FMSA,Chiller,Knowledge Query,retrospective,Get failure modes for Chiller 6 and only include in final response those that can be monitored using the available sensors.,get failure modes for chiller 6 and only include in final response those that can be monitored using the available sensors.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[6],1,1,['Get failure modes for Chiller 6 and only include in final response those that can be monitored using the available sensors.'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_OTHER,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'get failure modes for chiller <NUM> and only include in final response those that can be monitored using the available sensors.')",aggressive_template_collapse_v1
18,FMSA,WindTurbine,Knowledge Query,retrospective,List all failure modes of asset Wind Turbine.,list all failure modes of asset wind turbine.,the answer should contain a list of meaningful failure modes for asset wind turbine.,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[18],1,1,['List all failure modes of asset Wind Turbine.'],['the answer should contain a list of meaningful failure modes for asset wind turbine.'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'WindTurbine', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all failure modes of asset wind turbine.')",aggressive_template_collapse_v1
19,FMSA,WindTurbine,Knowledge Query,retrospective,Provide some sensors of asset Wind Turbine.,provide some sensors of asset wind turbine.,the answer should contain a list of sensor names for asset wind turbine.,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[19],1,1,['Provide some sensors of asset Wind Turbine.'],['the answer should contain a list of sensor names for asset wind turbine.'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_OTHER,False,"('FMSA', 'WindTurbine', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'provide some sensors of asset wind turbine.')",aggressive_template_collapse_v1
20,IoT,AHU,Knowledge Query,retrospective,Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN,can i list all the metrics monitored by cqpa ahu 2b? use site main,The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[23],1,1,['Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN'],['The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'AHU', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'can i list all the metrics monitored by cqpa ahu 2b? use site <SITE>')",aggressive_template_collapse_v1
21,IoT,AHU,Knowledge Query,retrospective,"What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?","what is the power consumption of cqpa ahu 1 on mar 13 '20, site main?","The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[24],1,1,"[""What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?""]","['The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'AHU', 'Knowledge Query', 'retrospective', 'ASK_LIST', ""what is the power consumption of cqpa ahu 1 on mar 13 '20, site <SITE>?"")",aggressive_template_collapse_v1
22,IoT,AHU,Knowledge Query,retrospective,What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file,what was the latest supply humidity from cqpa ahu 1 at site main on sept 3 2015? return in a file,"The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[20],1,1,['What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file'],"['The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'AHU', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'what was the latest supply humidity from cqpa ahu 1 at site <SITE> on sept 3 2015? return in a file')",aggressive_template_collapse_v1
23,IoT,AHU,Knowledge Query,retrospective,"what was the return temperature from CQPA AHU 2B on sept 19, 2020 at 7pm, at site MAIN? return data in a file","what was the return temperature from cqpa ahu 2b on sept 19, 2020 at 7pm, at site main? return data in a file","The expected response should be the return temperature for asset CQPA AHU 2B at the MAIN site, for 7pm on September 19, 2015. The return value should reference a file that contains the return temperature.",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[25],1,1,"['what was the return temperature from CQPA AHU 2B on sept 19, 2020 at 7pm, at site MAIN? return data in a file']","['The expected response should be the return temperature for asset CQPA AHU 2B at the MAIN site, for 7pm on September 19, 2015. The return value should reference a file that contains the return temperature.']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'AHU', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'what was the return temperature from cqpa ahu 2b on sept 19, 2020 at 7pm, at site <SITE>? return data in a file')",aggressive_template_collapse_v1
