cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,cluster_size,member_queries,member_expected_answers,member_notes,embedding_backend,block_key
11,FMSA,Chiller,Knowledge Query,prescriptive,"I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,","i want to build an anomaly model for identifying a chiller trip failure for pokmain chiller <num>. provide me a list of sensors that i should use, along with the temporal behavior,","the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,']","['the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
12,FMSA,WindTurbine,Knowledge Query,retrospective,List all failure modes of asset Wind Turbine.,list all failure modes of <asset> turbine.,the answer should contain a list of meaningful failure modes for asset wind turbine.,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['List all failure modes of asset Wind Turbine.'],['the answer should contain a list of meaningful failure modes for asset wind turbine.'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'WindTurbine', 'Knowledge Query')"
13,FMSA,WindTurbine,Knowledge Query,retrospective,Provide some sensors of asset Wind Turbine.,provide some sensors of <asset> turbine.,the answer should contain a list of sensor names for asset wind turbine.,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['Provide some sensors of asset Wind Turbine.'],['the answer should contain a list of sensor names for asset wind turbine.'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'WindTurbine', 'Knowledge Query')"
14,IoT,AHU,Knowledge Query,retrospective,What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file,what was the latest supply humidity from cqpa ahu <num> at site main on sept <num> <num>? return in a file,"The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file'],"['The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'AHU', 'Knowledge Query')"
15,IoT,AHU,Knowledge Query,retrospective,"what was the supply temperature from CQPA AHU 2B on sept 19, 2020 at quarter to midnight, at site MAIN? return in a file","what was the supply temperature from cqpa ahu 2b on sept <num>, <num> at quarter to midnight, at site main? return in a file","The expected response should be the supply temperature from asset CQPA AHU 2B at 11:45pm on September 19, 2015.  The returned value should be a reference to a file containing the value",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,2,"['what was the supply temperature from CQPA AHU 2B on sept 19, 2020 at quarter to midnight, at site MAIN? return in a file', 'what was the return temperature from CQPA AHU 2B on sept 19, 2020 at 7pm, at site MAIN? return data in a file']","['The expected response should be the supply temperature from asset CQPA AHU 2B at 11:45pm on September 19, 2015.  The returned value should be a reference to a file containing the value', 'The expected response should be the return temperature for asset CQPA AHU 2B at the MAIN site, for 7pm on September 19, 2015. The return value should reference a file that contains the return temperature.']","['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'AHU', 'Knowledge Query')"
16,IoT,AHU,Knowledge Query,retrospective,how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?,how much power was cqpa ahu <num> (main site) using on <num>/<num>/<num>?,"The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,2,"['how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?', ""What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?""]","['The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.', 'The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.']","['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'AHU', 'Knowledge Query')"
17,IoT,AHU,Knowledge Query,retrospective,Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN,can i list all the metrics monitored by cqpa ahu 2b? use site main,The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN'],['The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'AHU', 'Knowledge Query')"
18,IoT,Chiller,Data Query,retrospective,Get the asset details for Chiller 9 at the MAIN site.,get the <asset> for chiller <num> at the <site> site.,"The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details",Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,2,"['Retrieve metadata for Chiller 6 located at the MAIN site.', 'Get the asset details for Chiller 9 at the MAIN site.']","[""The expected response should be the metadata for asset 'Chiller 6' at the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata"", ""The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details""]","['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query', 'Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Data Query')"
19,IoT,Chiller,Data Query,retrospective,Download the metadata for Chiller 3 at the MAIN facility.,download the metadata for chiller <num> at the main facility.,"The expected response should be the metadata for asset 'Chiller 3' as the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,1,['Download the metadata for Chiller 3 at the MAIN facility.'],"[""The expected response should be the metadata for asset 'Chiller 3' as the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata""]",['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Data Query')"
20,IoT,Chiller,Data Query,retrospective,Download sensor data for Chiller 6's Tonnage from the last week of 2020 at the MAIN site,download sensor data for chiller <num>'s tonnage from the last week of <num> at the <site> site,The expected response should be the tonnage data for last week of 2020 for 'Chiller 6' at the MAIN site. The response should be a reference to a file containing the list of tonnage values,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,2,"[""Download sensor data for Chiller 6's Tonnage from the last week of 2020 at the MAIN site"", ""Download all sensor data for Chiller 6 from the last week of April '20 at the MAIN site.""]","[""The expected response should be the tonnage data for last week of 2020 for 'Chiller 6' at the MAIN site. The response should be a reference to a file containing the list of tonnage values"", ""The expected response should be data from all sensors for asset 'Chiller 6' at the MAIN site for the past week.  The return value should reference a file containing all the sensor data""]","['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query', 'Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Data Query')"
21,IoT,Chiller,Data Query,retrospective,Retrieve sensor data for Chiller 6 from June 2020.,retrieve sensor data for chiller <num> from june <num>.,"The expected response should be all sensor data for asset 'Chiller 6' for June 1, 2020 through June 30, 2020, inclusive. The return value should be a reference to a file containing all the sensor data.",Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,2,"[""Retrieve sensor data for Chiller 6's % Loaded from June 2020 at MAIN."", 'Retrieve sensor data for Chiller 6 from June 2020.']","[""The expected response should be the % Loaded measurements for the asset 'Chiller 6' at the MAIN site. It should include all recorded values for June 1, 2020 througb June 30, 2020 inclusive. The response should be a reference to a file containing the % Loaded data"", ""The expected response should be all sensor data for asset 'Chiller 6' for June 1, 2020 through June 30, 2020, inclusive. The return value should be a reference to a file containing all the sensor data.""]","['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query', 'Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Data Query')"
22,IoT,Chiller,Data Query,retrospective,Get sensor data for both Chiller 6 and Chiller 9's Tonnage from first week of June 2020 at MAIN in a single file.,get sensor data for both chiller <num> and chiller <num>'s tonnage from first week of june <num> at main in a single file.,The expected response should be the Tonnage values for both asset 'Chiller 6' and asset 'Chiller 9' at the MAIN site for last week. The values from both chillers should be merged into a single file. The return value should reference the file containing the merged Tonnage data from both chillers,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,1,"[""Get sensor data for both Chiller 6 and Chiller 9's Tonnage from first week of June 2020 at MAIN in a single file.""]","[""The expected response should be the Tonnage values for both asset 'Chiller 6' and asset 'Chiller 9' at the MAIN site for last week. The values from both chillers should be merged into a single file. The return value should reference the file containing the merged Tonnage data from both chillers""]",['Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Data Query')"
23,IoT,Chiller,Knowledge Query,retrospective,retrieve the supply temperature data recorded last week for Chiller 3 (MAIN site)?,retrieve the supply temperature data recorded last week for chiller <num> (main site)?,The expected response should be the supply temperature for asset Chiller 3 for the site MAIN for last week.  The returned value should be a reference to a file listing the supply temperatures.,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['retrieve the supply temperature data recorded last week for Chiller 3 (MAIN site)?'],['The expected response should be the supply temperature for asset Chiller 3 for the site MAIN for last week.  The returned value should be a reference to a file listing the supply temperatures.'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Knowledge Query')"
24,IoT,Chiller,Knowledge Query,retrospective,list all the chillers at site MAIN,list all the chillers at site main,The expected response should be a list of all chiller assets for the site MAIN.  The returned value should be a reference to a file containing the list of chiller assets.,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['list all the chillers at site MAIN'],['The expected response should be a list of all chiller assets for the site MAIN.  The returned value should be a reference to a file containing the list of chiller assets.'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Chiller', 'Knowledge Query')"
25,IoT,Equipment,Knowledge Query,retrospective,Which assets are located at the MAIN facility?,which assets are located at the main facility?,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['Which assets are located at the MAIN facility?'],['The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],N/A (singleton),"('IoT', 'Equipment', 'Knowledge Query')"
